filename,width,height,class,xmin,ymin,xmax,ymax
xemay2193_jpg.rf.0fdf4b298cae1f2fa7e59ed38c68ed2d.jpg,472,303,License_Plate,181,139,216,170
CarLongPlateGen2325_jpg.rf.2d68a6b85dcd0a3dc9787925933e5d30.jpg,472,303,License_Plate,172,156,287,193
xemay744_jpg.rf.a653a5d23e7d41466a0575ce79d70366.jpg,472,303,License_Plate,191,43,268,113
xemay2202_jpg.rf.204536595006348f0414dbd5b1b28099.jpg,472,303,License_Plate,278,129,317,153
xemay2216_jpg.rf.a37579ccc7f74c2eca1d0c9754d734c7.jpg,472,303,License_Plate,206,158,238,183
xemay672_jpg.rf.6edae72fd30583544ce46f33ddfa420e.jpg,472,303,License_Plate,161,107,255,183
CarLongPlateGen168_jpg.rf.29bf532bfdb59655acb84fc2405fa19d.jpg,472,303,License_Plate,215,193,263,212
CarLongPlateGen2290_jpg.rf.f737274546f22d258dea1ac91aadf2d7.jpg,472,303,License_Plate,252,188,381,225
CarLongPlateGen1724_jpg.rf.e8056cf830a995d235f07765c3b5ccfd.jpg,472,303,License_Plate,206,196,298,223
CarLongPlateGen2336_jpg.rf.751fae24ceb008d80853cb9613fd5c60.jpg,472,303,License_Plate,252,178,382,212
boderquandoi19_jpg.rf.ceb6cb21955a4f20cf6b7bd982d8810b.jpg,540,304,License_Plate,220,165,242,173
CarLongPlateGen2358_jpg.rf.995fd29482dde0f33f1e94be7514689e.jpg,472,303,License_Plate,232,220,356,253
CarLongPlateGen316_jpg.rf.2aa2049d1e048bb37f9508bb20d6ae93.jpg,472,303,License_Plate,225,209,276,225
CarLongPlateGen572_jpg.rf.dafba6a29ce54afe570d8a004cca7896.jpg,472,303,License_Plate,197,150,236,165
CarLongPlateGen2327_jpg.rf.9e99252a3a840fea449ead0a219391f1.jpg,472,303,License_Plate,247,126,365,173
xemay2215_jpg.rf.63572781160d8fbcd13a84b8a59670af.jpg,472,303,License_Plate,270,120,313,148
CarLongPlateGen2314_jpg.rf.ef30beadf045eccec19459af7d438705.jpg,472,303,License_Plate,195,239,335,277
xemay2175_jpg.rf.f67a41bf991440fab0180fac4e691a67.jpg,472,303,License_Plate,120,99,170,130
xemay2173_jpg.rf.011e225c8cce8591e362bdf58cb40258.jpg,472,303,License_Plate,219,135,273,174
CarLongPlateGen514_jpg.rf.031ff4817ea06bf31b22ac67085f96e7.jpg,472,303,License_Plate,195,229,247,241
CarLongPlateGen2339_jpg.rf.ec619087f30bec768bebb5a9e008a0e3.jpg,472,303,License_Plate,336,242,439,265
CarLongPlateGen2305_jpg.rf.82a07486bf6876e9cc8caaca30f9c536.jpg,472,303,License_Plate,214,218,357,263
xemay2227_jpg.rf.ce29c9c362b05bd75a4be4530cdaf222.jpg,472,303,License_Plate,227,80,273,130
xemay702_jpg.rf.615bcbfcfa8193906b3ddd68902e637a.jpg,472,303,License_Plate,171,167,270,252
CarLongPlate71_jpg.rf.cf32c3cc462389d5f8ef8eebc7a87219.jpg,472,303,License_Plate,221,137,303,159
xemay696_jpg.rf.72f698ca503a8fb1d0656c8cedc49dc7.jpg,472,303,License_Plate,163,66,253,134
xemay738_jpg.rf.edac0c6171aa28822df19844b1ceff01.jpg,472,303,License_Plate,201,29,280,101
CarLongPlateGen1656_jpg.rf.1e101fefe1a167f8aa7a0c6234029d37.jpg,472,303,License_Plate,235,211,318,237
xemay712_jpg.rf.96bda4dade6061a0f3287bac08bb553d.jpg,472,303,License_Plate,206,129,299,215
xemay681_jpg.rf.c4e32015786c2f0018a89da946d3a9a8.jpg,472,303,License_Plate,126,66,220,140
CarLongPlateGen562_jpg.rf.624e230c93122f1f3f792d21a8056287.jpg,472,303,License_Plate,155,169,203,181
CarLongPlateGen549_jpg.rf.ec2c422c6b4727f5d72f5ab05ce4c8c7.jpg,472,303,License_Plate,253,213,311,221
